x,y,action_density
1.000000000000000000e+01,2.020202020202020166e-01,1.318207455387764883e-03
0.000000000000000000e+00,3.030303030303030387e-01,1.750441123251854185e-03
1.010101010101010083e-01,3.030303030303030387e-01,2.393037353780227972e-03
2.020202020202020166e-01,3.030303030303030387e-01,3.286015529949405309e-03
3.030303030303030387e-01,3.030303030303030387e-01,4.525420194283107447e-03
4.040404040404040331e-01,3.030303030303030387e-01,6.239376990324700320e-03
5.050505050505050830e-01,3.030303030303030387e-01,8.595577268833743539e-03
6.060606060606060774e-01,3.030303030303030387e-01,1.180892750419549816e-02
7.070707070707070718e-01,3.030303030303030387e-01,1.614857123927608204e-02
8.080808080808080662e-01,3.030303030303030387e-01,2.194317894129005353e-02
9.090909090909090606e-01,3.030303030303030387e-01,2.958310485168535661e-02
1.010101010101010166e+00,3.030303030303030387e-01,3.951778784415596601e-02
1.111111111111111160e+00,3.030303030303030387e-01,5.224669662704062301e-02
1.212121212121212155e+00,3.030303030303030387e-01,6.830226365457979509e-02
1.313131313131313149e+00,3.030303030303030387e-01,8.822368270820175884e-02
1.414141414141414144e+00,3.030303030303030387e-01,1.125212015002925031e-01
1.515151515151515138e+00,3.030303030303030387e-01,1.416316173133322642e-01
1.616161616161616132e+00,3.030303030303030387e-01,1.758670152159516054e-01
1.717171717171717127e+00,3.030303030303030387e-01,2.153602420106075777e-01
1.818181818181818121e+00,3.030303030303030387e-01,2.600119890451691451e-01
1.919191919191919116e+00,3.030303030303030387e-01,3.094454239021398601e-01
2.020202020202020332e+00,3.030303030303030387e-01,3.629748155303705315e-01
2.121212121212121104e+00,3.030303030303030387e-01,4.195943257523528924e-01
2.222222222222222321e+00,3.030303030303030387e-01,4.779919628781854612e-01
2.323232323232323093e+00,3.030303030303030387e-01,5.365916084653100659e-01
2.424242424242424310e+00,3.030303030303030387e-01,5.936231876941114871e-01
2.525252525252525082e+00,3.030303030303030387e-01,6.472177625284197822e-01
2.626262626262626299e+00,3.030303030303030387e-01,6.955210126512610946e-01
2.727272727272727071e+00,3.030303030303030387e-01,7.368157226296312423e-01
2.828282828282828287e+00,3.030303030303030387e-01,7.696419873905555598e-01
2.929292929292929060e+00,3.030303030303030387e-01,7.929032496342260927e-01
3.030303030303030276e+00,3.030303030303030387e-01,8.061913613565175885e-01
3.131313131313131048e+00,3.030303030303030387e-01,8.131688359080579964e-01
3.232323232323232265e+00,3.030303030303030387e-01,8.152975866901494006e-01
3.333333333333333481e+00,3.030303030303030387e-01,8.129408856361783897e-01
3.434343434343434254e+00,3.030303030303030387e-01,8.066571906462921548e-01
3.535353535353535470e+00,3.030303030303030387e-01,7.971524559018133838e-01
3.636363636363636243e+00,3.030303030303030387e-01,7.852234048831160385e-01
3.737373737373737459e+00,3.030303030303030387e-01,7.716976811860400964e-01
3.838383838383838231e+00,3.030303030303030387e-01,7.573767873413056462e-01
3.939393939393939448e+00,3.030303030303030387e-01,7.429870101604861832e-01
4.040404040404040664e+00,3.030303030303030387e-01,7.291422615121079254e-01
4.141414141414140992e+00,3.030303030303030387e-01,7.163211522440688928e-01
4.242424242424242209e+00,3.030303030303030387e-01,7.048589061186649740e-01
4.343434343434343425e+00,3.030303030303030387e-01,6.949531355511346931e-01
4.444444444444444642e+00,3.030303030303030387e-01,6.866812167767442077e-01
4.545454545454544970e+00,3.030303030303030387e-01,6.800261236021759581e-01
4.646464646464646187e+00,3.030303030303030387e-01,6.749071364204126677e-01
4.747474747474747403e+00,3.030303030303030387e-01,6.712118027937932219e-01
4.848484848484848619e+00,3.030303030303030387e-01,6.688258100307717946e-01
4.949494949494949836e+00,3.030303030303030387e-01,6.676579422655379847e-01
5.050505050505050164e+00,3.030303030303030387e-01,6.676579422655379847e-01
5.151515151515151381e+00,3.030303030303030387e-01,6.688258100307717946e-01
5.252525252525252597e+00,3.030303030303030387e-01,6.712118027937932219e-01
5.353535353535353813e+00,3.030303030303030387e-01,6.749071364204126677e-01
5.454545454545454142e+00,3.030303030303030387e-01,6.800261236021758471e-01
5.555555555555555358e+00,3.030303030303030387e-01,6.866812167767440966e-01
5.656565656565656575e+00,3.030303030303030387e-01,6.949531355511346931e-01
